frame,t_lap,ocr
636,127.2,GPSSpeedkm/h 176
637,127.4,GPSSpeedkm/h 175
638,127.6,GPSSpeedkm/h 175
639,127.8,GPSSpeedkm/h 174
640,128.0,GPSSpeedkm/h 175
641,128.2,GPSSpeedkm/h 180
642,128.4,GPSSpeedkm/h 188
643,128.6,GPSSpeedkm/h 197
644,128.8,GPSSpeedkm/h 202
645,129.0,GPSSpeedkm/h 210
646,129.2,GPSSpeedkm/h 212
647,129.4,GPSSpeedkm/h 210
648,129.6,GPSSpeedkm/h 206
649,129.8,GPSSpeedkm/h 200
650,130.0,GPSSpeedkm/h 191
651,130.2,GPSSpeedkm/h 185
652,130.4,GPSSpeedkm/h 179
653,130.6,GPSSpeedkm/h 173
654,130.8,GPSSpeedkm/h 170
655,131.0,GPSSpeedkm/h 167
656,131.2,GPSSpeedkm/h 165
657,131.4,GPSSpeedkm/h 162
658,131.6,GPSSpeedkm/h 161
659,131.8,GPSSpeedkm/h 159
660,132.0,GPSSpeedkm/h 159
661,132.2,GPSSpeedkm/h 158
662,132.4,GPSSpeedkm/h 159
663,132.6,GPSSpeedkm/h 160
664,132.8,GPSSpeedkm/h 161
665,133.0,GPSSpeedkm/h 162
666,133.2,GPSSpeedkm/h 163
667,133.4,GPSSpeedkm/h 163
668,133.6,GPSSpeedkm/h 163
669,133.8,GPSSpeedkm/h 164
670,134.0,GPSSpeedkm/h 171
671,134.2,GPSSpeedkm/h 174
672,134.4,GPSSpeedkm/h 178
673,134.6,GPSSpeedkm/h 182
674,134.8,GPSSpeedkm/h 189
675,135.0,GPSSpeedkm/h 196
676,135.2,GPSSpeedkm/h 200
677,135.4,GPSSpeedkm/h 206 
678,135.6,GPSSpeedkm/h 210
679,135.8,GPSSpeedkm/h 212
680,136.0,GPSSpeedkm/h 217
681,136.2,GPSSpeedkm/h 222 
682,136.4,GPSSpeedkm/h 225
683,136.6,GPSSpeedkm/h 225
684,136.8,GPSSpeedkm/h 217
